Transaction_ID,Date,Time,Sender_ID,Receiver_ID,Sender_Country,Receiver_Country,Payment_Method,Transaction_Amount,Transaction_Currency,Transaction_Velocity,Unusual_Time,Multiple_Currency_Conversions,Repeated_Failed_Attempts,Is_Fraudulent,Is_Known_Fraudster,Is_Sanctioned_Entity,Suspicion_Score,Is_Suspicious,Suspicion_Reasons
6b9650e8-6636-41f9-8272-cba750d4232f,2024-05-14,17:52:09,56d9efb5-8e39-49ee-8f40-2022ebb5fcec,9b15e6b6-ce35-452c-b302-536e6f719c45,Japan,UK,Skrill,40781.26,JPY,6,False,False,0,True,False,False,0.5851630490799582,True,High Transaction Velocity
4e57f0e4-6563-4e2c-80f7-5a8cf9c1f2e4,2024-04-25,07:48:06,402e1458-95c6-4904-9074-0be1dbbae0a6,ad50f499-6bc2-498a-8d40-aaf680463682,India,Australia,UPI,99718.8,INR,10,False,False,0,True,False,False,0.6514102847101122,True,"High Transaction Amount, High Transaction Velocity"
08b091e1-d04e-4e81-ad49-1d66f288fdb4,2023-11-25,05:29:12,6af66abc-0eb7-4fad-93d7-c9a69edf934e,8b410fb5-6fd5-427a-b4f1-7aec5b67d5fe,Australia,India,Skrill,13721.47,AUD,8,False,False,3,True,False,False,0.6500945506106487,True,High Transaction Velocity
6fc0c5ec-499d-4921-bc6a-387fd5208ac0,2024-09-20,15:37:21,3a38ba52-a446-4780-a57b-268933db7228,1b4fa316-ecea-4355-bf2a-77e4a9664004,USA,Canada,Payoneer,182152.29,USD,10,True,False,2,True,False,False,0.857898211477365,True,"High Transaction Amount, High Transaction Velocity"
7b08cb35-6105-4b90-becf-5067c9e26fe1,2024-04-12,22:37:12,3e40102f-14d0-411f-86a5-dcefd3e98999,249f3fc5-8642-4dbd-82cb-4414eb831c5d,Germany,Australia,bank transfer,65656.06,EUR,5,True,False,4,True,False,False,0.628346425673765,True,High Transaction Velocity
f5986aa3-c1dc-4b80-8366-68023be184ea,2023-10-22,08:56:51,76a6b2fc-baf9-4903-b473-4372ac99b5e5,7aa5458a-802d-436b-99cd-9ab4ef160026,Australia,Germany,Payoneer,92479.61,AUD,8,True,False,0,True,False,False,0.6964638569216571,True,"High Transaction Amount, High Transaction Velocity"
51b79750-9677-445b-985c-2d7aef042514,2023-10-31,08:31:13,6ede4c59-2cd1-414f-bc6a-48cb4619dedd,87535b0b-ccc1-48c7-8380-b4273ffbcaa5,Japan,Canada,PayPal,81091.09,JPY,7,False,False,3,True,False,False,0.6812020289181904,True,High Transaction Velocity
7ee02a54-7d26-4746-b9c3-adcff06f91b1,2024-04-12,04:34:52,1edd393e-030f-4a30-985e-05ec9a835d7a,2c5be319-59bb-49be-aee7-cb4ab88dd886,Canada,Germany,PayPal,199423.4,CAD,10,True,False,0,True,False,False,0.8057841365411911,True,"High Transaction Amount, High Transaction Velocity"
d27015c6-2cc7-4169-bac6-a7eb8cf5bb02,2024-08-09,00:08:26,fbf20858-0067-4df6-a745-671452e72237,abe7d244-41b9-48b4-9a66-6f315299cb21,Germany,Canada,bank transfer,15840.15,EUR,9,True,False,3,True,False,False,0.6708527791715053,True,High Transaction Velocity
c0417dd9-43a4-449d-8d99-6255f4460347,2024-01-30,02:56:59,beceb091-79f3-44e5-a972-f3d680dc8a27,637d2ab6-c6e7-4d9d-91ba-22794bb6cdda,Canada,Canada,bank transfer,147397.64,CAD,15,False,False,6,True,False,False,0.9175373922579805,True,"High Transaction Amount, High Transaction Velocity"
